Date,Triage 1
2014-05-05,
2014-05-06,6.0
2014-05-07,6.0
2014-05-08,
2014-05-09,8.0
2014-05-10,
2014-05-11,
2014-05-12,4.0
2014-05-13,8.0
2014-05-14,3.0
2014-05-15,4.0
2014-05-16,5.0
2014-05-17,8.0
2014-05-18,8.0
2014-05-19,7.0
2014-05-20,
2014-05-21,5.0
2014-05-22,
2014-05-23,6.0
2014-05-24,5.0
2014-05-25,5.0
2014-05-26,8.0
2014-05-27,3.0
2014-05-28,
2014-05-29,3.0
2014-05-30,4.0
2014-05-31,5.0
2014-06-01,9.0
2014-06-02,3.0
2014-06-03,5.0
2014-06-04,
2014-06-05,3.0
2014-06-06,3.0
2014-06-07,4.0
2014-06-08,8.0
2014-06-09,10.0
2014-06-10,5.0
2014-06-11,8.0
2014-06-12,7.0
2014-06-13,3.0
2014-06-14,10.0
2014-06-15,3.0
2014-06-16,4.0
2014-06-17,3.0
2014-06-18,
2014-06-19,5.0
2014-06-20,
2014-06-21,
2014-06-22,5.0
2014-06-23,
2014-06-24,4.0
2014-06-25,6.0
2014-06-26,4.0
2014-06-27,
2014-06-28,5.0
2014-06-29,15.0
2014-06-30,8.0
